RunNum,BlockType,Category,Onset,Response,ResponseTime,Accuracy,ImageName,GoTrial
1,2,musical instruments,1463674876.01,Y,0.667879104614,1,electric guitar.jpg,1
1,2,musical instruments,1463674878.04,Y,0.671159029007,1,wooden flute 1.jpg,1
1,2,musical instruments,1463674880.06,Y,0.672549009323,1,timpani.jpg,1
1,2,musical instruments,1463674882.09,N,2.02108001709,1,710-1560_PI_TPS2127122.jpg,0
1,2,musical instruments,1463674884.11,N,2.03132891655,1,deer.jpg,0
1,2,musical instruments,1463674886.14,N,2.00261998177,1,cow.jpg,0
1,2,musical instruments,1463674888.14,N,2.03232192993,1,duct tape.jpg,0
1,2,musical instruments,1463674890.17,Y,0.593462944031,1,guitar 2.jpg,1
1,2,musical instruments,1463674892.19,N,2.02761411667,1,apron.jpg,0
1,2,musical instruments,1463674894.22,N,2.02657699585,1,cowboy.jpg,0
1,2,musical instruments,1463674896.24,Y,0.623552083969,1,vibraphone.jpg,1
1,2,musical instruments,1463674898.25,N,2.01269507408,1,teaspoon.jpg,0
1,1,things that are red,1463674902.72,N,2.01497197151,1,coffee maker.jpg,0
1,1,things that are red,1463674904.73,N,2.00071120262,1,fireplace.jpg,0
1,1,things that are red,1463674906.73,Y,0.787744998932,1,970801_0159_1015_oslp.jpg,1
1,1,things that are red,1463674908.74,N,2.00578403473,1,jetski.jpg,0
1,1,things that are red,1463674910.75,N,2.01539301872,1,crock pot.jpg,0
1,1,things that are red,1463674912.76,N,2.00330805779,1,banana.jpg,0
1,1,things that are red,1463674914.76,Y,0.552133083344,1,970801_0401_1010_oslp.jpg,1
1,1,things that are red,1463674916.8,Y,0.802928924561,1,970801_4353_1055_oslp.jpg,1
1,1,things that are red,1463674918.82,Y,0.79523396492,1,970801_0179_1007_oslp.jpg,1
1,1,things that are red,1463674920.84,N,2.02114987373,1,frame.jpg,0
1,1,things that are red,1463674922.86,N,2.00308489799,1,green beans.jpg,0
1,1,things that are red,1463674924.87,Y,0.528023004532,1,970801_1434_1012_oslp.jpg,1
1,1,small objects,1463674929.49,Y,0.906476020813,1,nut and bolt 6.jpg,1
1,1,small objects,1463674931.51,N,2.01622700691,1,llama.jpg,0
1,1,small objects,1463674933.52,N,2.01720714569,1,drum set.jpg,0
1,1,small objects,1463674935.54,Y,0.694677114487,1,pins.jpg,1
1,1,small objects,1463674937.55,N,2.01959776878,1,gate.jpg,0
1,1,small objects,1463674939.57,N,2.02702999115,1,U-Go_Esteem_Alloy_Transit_Lightweight_Wheelchair_Main[1].jpg,0
1,1,small objects,1463674941.6,N,2.00719499588,1,portico.jpg,0
1,1,small objects,1463674943.61,N,2.01073408127,1,facade.jpg,0
1,1,small objects,1463674945.62,N,2.019272089,1,ship.jpg,0
1,1,small objects,1463674947.64,Y,0.950222015381,1,thimble 1.jpg,1
1,1,small objects,1463674949.67,N,2.0115571022,1,football player.jpg,0
1,1,small objects,1463674951.68,Y,0.801132917404,1,microchip_gaminator.jpg,1
1,2,dangerous animals,1463674956.15,Y,0.962152004242,1,Hippopotamus-Hippopotamus-009.jpg,1
1,2,dangerous animals,1463674958.16,N,2.0158290863,1,chisel.jpg,0
1,2,dangerous animals,1463674960.18,N,2.00263786316,1,harmonica.jpg,0
1,2,dangerous animals,1463674962.18,Y,1.05064702034,1,lizard 116.jpg,1
