SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20160107a_3T2,1,y,4,1,1,16.00447392463684,20.521509885787964,Easy,"[10, 6, 12, 3]","[6, 10, 3, 11]",1,1,1,2.483581066131592
FED_20160107a_3T2,1,y,4,1,2,24.005177974700928,28.52222204208374,Easy,"[2, 10, 5, 7]","[5, 7, 10, 9]",1,1,1,0.8834738731384277
FED_20160107a_3T2,1,y,4,1,3,32.00582194328308,36.52299404144287,Easy,"[4, 6, 3, 11]","[3, 6, 11, 9]",1,1,1,1.5501198768615723
FED_20160107a_3T2,1,y,4,1,4,40.00660300254822,44.52371406555176,Easy,"[2, 11, 7, 4]","[7, 3, 2, 11]",2,2,1,1.2834599018096924
FED_20160107a_3T2,1,y,4,1,5,48.00738286972046,52.52442193031311,Hard,"[7, 3, 4, 11, 12, 6, 10, 8]","[11, 3, 12, 10, 4, 7, 2, 1]",1,1,1,1.2001209259033203
FED_20160107a_3T2,1,y,4,1,6,56.00809383392334,60.52517294883728,Hard,"[6, 8, 7, 5, 9, 3, 4, 2]","[2, 7, 8, 6, 3, 4, 1, 11]",1,1,1,1.866858959197998
FED_20160107a_3T2,1,y,4,1,7,64.00880289077759,68.52591800689697,Hard,"[5, 3, 2, 6, 8, 1, 4, 11]","[5, 7, 6, 2, 1, 8, 12, 3]",2,2,1,1.616791009902954
FED_20160107a_3T2,1,y,4,1,8,72.00951099395752,76.52661395072937,Hard,"[5, 11, 6, 12, 7, 3, 9, 4]","[7, 12, 2, 11, 3, 6, 5, 1]",2,2,1,1.3501811027526855
FED_20160107a_3T2,1,y,4,1,9,80.01029706001282,84.5273208618164,Hard,"[12, 1, 9, 8, 2, 6, 5, 7]","[6, 7, 1, 5, 12, 9, 10, 11]",1,1,1,1.4835140705108643
FED_20160107a_3T2,1,y,4,1,10,88.01100301742554,92.52803587913513,Hard,"[8, 7, 5, 2, 6, 11, 4, 9]","[6, 4, 11, 7, 1, 8, 2, 5]",2,2,1,1.2668371200561523
FED_20160107a_3T2,1,y,4,1,11,96.01171898841858,100.52875590324402,Hard,"[2, 10, 9, 3, 11, 6, 5, 8]","[3, 5, 9, 11, 6, 10, 2, 7]",2,1,0,2.5169200897216797
FED_20160107a_3T2,1,y,4,1,12,104.01242589950562,108.52953004837036,Hard,"[12, 3, 9, 5, 6, 11, 7, 4]","[10, 6, 11, 7, 3, 5, 12, 9]",2,2,1,1.3334009647369385
FED_20160107a_3T2,1,y,4,1,13,112.01313185691833,116.53024101257324,Easy,"[4, 7, 11, 12]","[11, 1, 4, 7]",2,2,1,1.6834609508514404
FED_20160107a_3T2,1,y,4,1,14,120.01392698287964,124.5309488773346,Easy,"[4, 11, 9, 2]","[11, 4, 2, 5]",1,1,1,1.2334620952606201
FED_20160107a_3T2,1,y,4,1,15,128.01463103294373,132.56499600410461,Easy,"[9, 4, 10, 12]","[10, 12, 9, 7]",1,1,1,0.9499788284301758
FED_20160107a_3T2,1,y,4,1,16,136.0153419971466,140.53228998184204,Easy,"[10, 1, 2, 6]","[12, 10, 1, 2]",2,2,1,1.2001979351043701
FED_20160107a_3T2,1,y,4,1,17,160.0008819103241,164.51789689064026,Hard,"[9, 2, 6, 10, 3, 1, 4, 12]","[3, 6, 9, 2, 5, 10, 1, 4]",2,1,0,2.4835989475250244
FED_20160107a_3T2,1,y,4,1,18,168.00159287452698,172.51861095428467,Hard,"[11, 3, 2, 12, 7, 9, 5, 8]","[3, 9, 12, 1, 7, 11, 2, 5]",2,2,1,2.0668299198150635
FED_20160107a_3T2,1,y,4,1,19,176.0022909641266,180.51932287216187,Hard,"[4, 3, 10, 6, 12, 7, 8, 9]","[3, 4, 6, 7, 12, 8, 10, 11]",1,1,1,1.5501861572265625
FED_20160107a_3T2,1,y,4,1,20,184.00300097465515,188.52003598213196,Hard,"[9, 5, 1, 4, 2, 10, 11, 8]","[4, 1, 10, 11, 8, 2, 5, 12]",1,1,1,1.6668670177459717
FED_20160107a_3T2,1,y,4,1,21,192.0037100315094,196.52077102661133,Easy,"[9, 6, 5, 12]","[6, 12, 5, 3]",1,1,1,0.9667928218841553
FED_20160107a_3T2,1,y,4,1,22,200.00447583198547,204.52152490615845,Easy,"[10, 5, 3, 1]","[5, 1, 10, 9]",1,1,1,1.100100040435791
FED_20160107a_3T2,1,y,4,1,23,208.00512790679932,212.52222990989685,Easy,"[1, 9, 12, 2]","[12, 1, 8, 9]",2,2,1,1.4335010051727295
FED_20160107a_3T2,1,y,4,1,24,216.00592589378357,220.52294301986694,Easy,"[7, 1, 12, 3]","[1, 7, 3, 4]",1,1,1,0.9334218502044678
FED_20160107a_3T2,1,y,4,1,25,224.00662183761597,228.5236518383026,Easy,"[9, 7, 10, 3]","[8, 7, 9, 10]",2,2,1,1.9835100173950195
FED_20160107a_3T2,1,y,4,1,26,232.00733995437622,236.52436089515686,Easy,"[9, 2, 10, 8]","[9, 8, 2, 1]",1,1,1,1.4335010051727295
FED_20160107a_3T2,1,y,4,1,27,240.00803899765015,244.52515196800232,Easy,"[6, 5, 1, 9]","[9, 1, 6, 12]",1,1,1,0.7833828926086426
FED_20160107a_3T2,1,y,4,1,28,248.0087490081787,252.52585887908936,Easy,"[2, 9, 5, 8]","[5, 2, 9, 12]",2,1,0,1.2834680080413818
FED_20160107a_3T2,1,y,4,1,29,256.0094668865204,260.52657103538513,Hard,"[2, 11, 12, 8, 6, 1, 5, 7]","[12, 1, 2, 8, 11, 5, 10, 9]",1,1,1,1.9501688480377197
FED_20160107a_3T2,1,y,4,1,30,264.0102479457855,268.5439429283142,Hard,"[8, 12, 4, 3, 11, 2, 7, 6]","[12, 3, 2, 4, 7, 6, 11, 10]",1,1,1,1.9501819610595703
FED_20160107a_3T2,1,y,4,1,31,272.01095485687256,276.5279860496521,Hard,"[7, 4, 8, 1, 3, 10, 11, 6]","[10, 1, 8, 3, 4, 5, 7, 11]",2,1,0,2.4502859115600586
FED_20160107a_3T2,1,y,4,1,32,280.011666059494,284.52869606018066,Hard,"[10, 2, 11, 7, 8, 12, 4, 5]","[7, 12, 11, 2, 9, 8, 10, 6]",2,2,1,2.1835429668426514
FED_20160107a_3T2,1,y,4,1,33,304.0137929916382,308.53090500831604,Easy,"[6, 8, 3, 5]","[5, 3, 8, 1]",1,1,1,1.3167388439178467
FED_20160107a_3T2,1,y,4,1,34,312.0145070552826,316.5316059589386,Easy,"[11, 2, 10, 9]","[10, 11, 5, 2]",2,2,1,2.1835479736328125
FED_20160107a_3T2,1,y,4,1,35,320.01528787612915,324.5323188304901,Easy,"[6, 9, 11, 3]","[11, 6, 3, 7]",1,1,1,0.9667470455169678
FED_20160107a_3T2,1,y,4,1,36,328.0160038471222,332.5331070423126,Easy,"[1, 10, 2, 3]","[10, 1, 2, 6]",2,2,1,2.2335588932037354
FED_20160107a_3T2,1,y,4,1,37,336.0167078971863,340.5171449184418,Hard,"[8, 5, 11, 2, 6, 12, 7, 10]","[2, 8, 7, 6, 12, 5, 11, 3]",2,2,1,2.1668689250946045
FED_20160107a_3T2,1,y,4,1,38,344.0008249282837,348.5178589820862,Hard,"[2, 8, 11, 6, 12, 7, 3, 10]","[3, 10, 11, 2, 7, 8, 5, 4]",1,1,1,1.1667828559875488
FED_20160107a_3T2,1,y,4,1,39,352.0015480518341,356.51857900619507,Hard,"[2, 5, 3, 9, 10, 1, 8, 12]","[4, 6, 1, 9, 2, 10, 3, 5]",2,1,0,1.6168580055236816
FED_20160107a_3T2,1,y,4,1,40,360.00224590301514,364.5192790031433,Hard,"[12, 6, 5, 8, 7, 11, 3, 10]","[6, 10, 7, 5, 11, 3, 2, 4]",1,1,1,1.35011887550354
FED_20160107a_3T2,1,y,4,1,41,368.0029559135437,372.5199899673462,Hard,"[7, 8, 9, 6, 10, 11, 1, 2]","[6, 9, 8, 5, 11, 7, 12, 10]",2,2,1,1.3334698677062988
FED_20160107a_3T2,1,y,4,1,42,376.0036668777466,380.5207688808441,Hard,"[2, 12, 8, 3, 5, 1, 10, 6]","[2, 1, 12, 8, 5, 6, 11, 9]",1,1,1,1.7668101787567139
FED_20160107a_3T2,1,y,4,1,43,384.00437784194946,388.521479845047,Hard,"[3, 10, 11, 6, 8, 2, 4, 7]","[4, 12, 2, 10, 3, 11, 8, 6]",2,2,1,1.5501830577850342
FED_20160107a_3T2,1,y,4,1,44,392.0051748752594,396.5221948623657,Hard,"[8, 2, 10, 1, 7, 6, 11, 12]","[6, 10, 11, 8, 2, 5, 1, 7]",2,2,1,2.200206995010376
FED_20160107a_3T2,1,y,4,1,45,400.005882024765,404.5228168964386,Easy,"[12, 9, 3, 4]","[4, 12, 3, 10]",1,1,1,2.0836141109466553
FED_20160107a_3T2,1,y,4,1,46,408.00658106803894,412.5236849784851,Easy,"[2, 7, 1, 4]","[1, 9, 2, 7]",2,2,1,1.350074052810669
