SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20160621a_3T2,1,y,4,1,1,16.00188708305359,20.52523899078369,Easy,"[2, 4, 10, 1]","[10, 6, 2, 4]",2,2,1,2.077704906463623
FED_20160621a_3T2,1,y,4,1,2,24.00788402557373,28.530550956726074,Easy,"[8, 6, 5, 2]","[8, 7, 5, 6]",2,2,1,0.6873950958251953
FED_20160621a_3T2,1,y,4,1,3,32.01348304748535,36.519707918167114,Easy,"[2, 4, 11, 3]","[11, 2, 5, 4]",2,2,1,0.6870691776275635
FED_20160621a_3T2,1,y,4,1,4,40.00245809555054,44.54241704940796,Easy,"[3, 5, 7, 2]","[7, 3, 10, 5]",2,2,1,0.6704318523406982
FED_20160621a_3T2,1,y,4,1,5,48.008116006851196,52.53152799606323,Hard,"[2, 11, 6, 9, 12, 8, 5, 1]","[2, 12, 5, 7, 11, 8, 9, 6]",2,,0,
FED_20160621a_3T2,1,y,4,1,6,56.01403498649597,60.52052593231201,Hard,"[6, 8, 7, 11, 2, 3, 4, 12]","[7, 2, 12, 4, 3, 8, 11, 10]",1,1,1,2.0777690410614014
FED_20160621a_3T2,1,y,4,1,7,64.00323390960693,68.51205205917358,Hard,"[3, 7, 6, 11, 4, 8, 2, 10]","[8, 6, 10, 7, 11, 4, 3, 12]",1,1,1,0.8694329261779785
FED_20160621a_3T2,1,y,4,1,8,72.0090639591217,76.5322859287262,Hard,"[4, 6, 5, 9, 3, 2, 7, 11]","[7, 11, 9, 6, 2, 5, 3, 1]",1,1,1,0.7711069583892822
FED_20160621a_3T2,1,y,4,1,9,80.01477694511414,84.52135396003723,Hard,"[6, 8, 12, 10, 9, 7, 1, 5]","[5, 10, 9, 1, 7, 8, 3, 11]",1,2,0,2.3953769207000732
FED_20160621a_3T2,1,y,4,1,10,88.00350689888,92.52681589126587,Hard,"[10, 3, 5, 8, 4, 6, 12, 1]","[9, 6, 10, 3, 8, 5, 4, 7]",2,2,1,2.2952771186828613
FED_20160621a_3T2,1,y,4,1,11,96.02616691589355,100.53265500068665,Hard,"[8, 10, 5, 1, 7, 4, 3, 12]","[10, 4, 1, 11, 7, 3, 5, 8]",2,2,1,0.7207560539245605
FED_20160621a_3T2,1,y,4,1,12,104.01533603668213,108.53852987289429,Hard,"[10, 1, 5, 12, 3, 2, 6, 4]","[8, 3, 10, 6, 5, 1, 2, 12]",2,2,1,0.7207472324371338
FED_20160621a_3T2,1,y,4,1,13,112.00447607040405,116.5276460647583,Easy,"[8, 5, 1, 4]","[4, 8, 1, 3]",1,1,1,0.8051228523254395
FED_20160621a_3T2,1,y,4,1,14,120.0102550983429,124.51962089538574,Easy,"[6, 9, 12, 3]","[6, 3, 9, 10]",1,1,1,0.9526431560516357
FED_20160621a_3T2,1,y,4,1,15,128.0162079334259,132.53931307792664,Easy,"[7, 5, 10, 11]","[11, 7, 10, 8]",1,1,1,0.7207539081573486
FED_20160621a_3T2,1,y,4,1,16,136.00532007217407,140.5284481048584,Easy,"[6, 3, 4, 1]","[4, 6, 1, 5]",1,1,1,0.5535547733306885
FED_20160621a_3T2,1,y,4,1,17,160.00596404075623,164.54595708847046,Hard,"[11, 7, 2, 5, 4, 3, 12, 1]","[11, 5, 4, 3, 7, 9, 8, 2]",2,1,0,0.8885519504547119
FED_20160621a_3T2,1,y,4,1,18,168.01199889183044,172.51851892471313,Hard,"[2, 3, 10, 5, 4, 1, 7, 11]","[5, 6, 1, 2, 10, 3, 9, 4]",2,2,1,2.278548002243042
FED_20160621a_3T2,1,y,4,1,19,176.0011420249939,180.52429509162903,Hard,"[4, 7, 12, 8, 11, 10, 3, 6]","[11, 12, 4, 10, 3, 9, 7, 8]",2,1,0,1.6919429302215576
FED_20160621a_3T2,1,y,4,1,20,184.0072329044342,188.54684400558472,Hard,"[6, 8, 5, 12, 4, 7, 11, 3]","[6, 4, 3, 8, 12, 11, 9, 10]",1,1,1,1.1899280548095703
FED_20160621a_3T2,1,y,4,1,21,192.01284289360046,196.53601002693176,Easy,"[12, 5, 3, 7]","[5, 12, 7, 1]",1,1,1,1.742370843887329
FED_20160621a_3T2,1,y,4,1,22,200.00183606147766,204.52520489692688,Easy,"[4, 3, 8, 10]","[3, 4, 8, 12]",2,2,1,1.27305006980896
FED_20160621a_3T2,1,y,4,1,23,208.00733399391174,212.5165240764618,Easy,"[8, 9, 3, 1]","[9, 8, 3, 7]",2,1,0,0.8187799453735352
FED_20160621a_3T2,1,y,4,1,24,216.0130159854889,220.51971793174744,Easy,"[9, 7, 8, 12]","[7, 8, 12, 4]",1,2,0,0.7875649929046631
FED_20160621a_3T2,1,y,4,1,25,224.00232696533203,228.52539587020874,Easy,"[7, 6, 2, 12]","[6, 3, 7, 2]",2,2,1,1.089597225189209
FED_20160621a_3T2,1,y,4,1,26,232.007994890213,236.53130292892456,Easy,"[11, 1, 7, 6]","[1, 6, 11, 12]",1,1,1,1.0562520027160645
FED_20160621a_3T2,1,y,4,1,27,240.01391196250916,244.50576400756836,Easy,"[3, 7, 6, 5]","[4, 7, 6, 3]",2,2,1,1.1543738842010498
FED_20160621a_3T2,1,y,4,1,28,248.00316405296326,252.5431408882141,Easy,"[1, 11, 2, 8]","[2, 3, 1, 11]",2,2,1,1.8096320629119873
FED_20160621a_3T2,1,y,4,1,29,256.009006023407,260.5322051048279,Hard,"[8, 5, 3, 7, 10, 6, 9, 12]","[3, 5, 10, 9, 12, 7, 4, 11]",1,2,0,2.3957128524780273
FED_20160621a_3T2,1,y,4,1,30,264.0148379802704,268.52133202552795,Hard,"[6, 11, 5, 8, 7, 3, 4, 10]","[8, 6, 7, 3, 11, 5, 9, 1]",1,1,1,1.294929027557373
FED_20160621a_3T2,1,y,4,1,31,272.00462889671326,276.52723693847656,Hard,"[11, 9, 2, 10, 8, 12, 1, 4]","[2, 11, 7, 12, 3, 10, 9, 8]",2,2,1,1.3235540390014648
FED_20160621a_3T2,1,y,4,1,32,280.00982689857483,284.53277587890625,Hard,"[9, 8, 4, 6, 10, 5, 1, 11]","[5, 1, 9, 8, 6, 4, 10, 7]",2,2,1,1.3908021450042725
FED_20160621a_3T2,1,y,4,1,33,304.01070499420166,308.5031440258026,Easy,"[2, 12, 3, 7]","[9, 2, 12, 3]",2,2,1,0.9024279117584229
