SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20160707b_3T1,2,y,4,2,1,16.008195877075195,20.525346040725708,Hard,"[6, 1, 2, 10, 5, 8, 7, 11]","[8, 2, 3, 1, 5, 4, 10, 6]",2,2,1,1.633599042892456
FED_20160707b_3T1,2,y,4,2,2,24.00918197631836,28.526386976242065,Hard,"[11, 7, 12, 6, 4, 3, 8, 2]","[3, 11, 7, 2, 4, 8, 5, 9]",1,1,1,2.1836209297180176
FED_20160707b_3T1,2,y,4,2,3,32.010156869888306,36.52743101119995,Hard,"[12, 7, 3, 10, 1, 8, 4, 2]","[9, 7, 3, 12, 5, 8, 10, 1]",2,2,1,1.1334459781646729
FED_20160707b_3T1,2,y,4,2,4,40.0112030506134,44.528403997421265,Hard,"[12, 2, 7, 1, 8, 10, 11, 9]","[9, 2, 12, 11, 10, 7, 6, 3]",1,2,0,1.0668489933013916
FED_20160707b_3T1,2,y,4,2,5,48.012211084365845,52.52944898605347,Easy,"[6, 5, 12, 7]","[6, 5, 3, 12]",2,2,1,1.1001129150390625
FED_20160707b_3T1,2,y,4,2,6,56.01322388648987,60.53044104576111,Easy,"[4, 1, 7, 8]","[7, 1, 4, 2]",2,2,1,0.8501229286193848
FED_20160707b_3T1,2,y,4,2,7,64.01425790786743,68.53146600723267,Easy,"[10, 7, 4, 12]","[10, 11, 4, 7]",2,2,1,0.8668088912963867
FED_20160707b_3T1,2,y,4,2,8,72.01524090766907,76.53251099586487,Easy,"[2, 12, 10, 1]","[2, 8, 10, 12]",2,2,1,0.8333990573883057
FED_20160707b_3T1,2,y,4,2,9,80.01628088951111,84.5168240070343,Easy,"[8, 4, 7, 11]","[7, 8, 4, 12]",2,2,1,0.7834579944610596
FED_20160707b_3T1,2,y,4,2,10,88.00060296058655,92.55120396614075,Easy,"[3, 10, 2, 6]","[10, 3, 2, 5]",1,1,1,1.10007905960083
FED_20160707b_3T1,2,y,4,2,11,96.0016028881073,100.51890707015991,Easy,"[5, 7, 12, 3]","[3, 5, 12, 6]",1,1,1,1.4169039726257324
FED_20160707b_3T1,2,y,4,2,12,104.00267195701599,108.51988101005554,Easy,"[7, 3, 4, 9]","[3, 4, 7, 6]",1,1,1,0.9168179035186768
