SubjID,RunNumber,Feedback,Version,Counterbalance,TrialNumber,TrialOnset,ChoiceOnset,Condition,LeftGrid,RightGrid,CorrectAnswer,Response,Accuracy,RT
FED_20160401b_3T2,1,y,4,1,1,16.0083909034729,20.525660037994385,Easy,"[6, 4, 7, 9]","[7, 6, 9, 10]",1,1,1,1.5335118770599365
FED_20160401b_3T2,1,y,4,1,2,24.009407997131348,28.526680946350098,Easy,"[5, 8, 4, 10]","[8, 5, 10, 11]",1,1,1,1.233335018157959
FED_20160401b_3T2,1,y,4,1,3,32.010441064834595,36.52769708633423,Easy,"[10, 4, 1, 9]","[10, 1, 4, 11]",1,1,1,1.0000829696655273
FED_20160401b_3T2,1,y,4,1,4,40.01145005226135,44.52864694595337,Easy,"[10, 9, 7, 4]","[4, 10, 7, 1]",1,1,1,0.8834640979766846
FED_20160401b_3T2,1,y,4,1,5,48.01247000694275,52.52966499328613,Hard,"[2, 7, 5, 10, 1, 3, 6, 9]","[7, 3, 2, 1, 6, 9, 4, 12]",1,1,1,1.2501931190490723
FED_20160401b_3T2,1,y,4,1,6,56.01349091529846,60.53068208694458,Hard,"[8, 2, 3, 10, 4, 1, 9, 5]","[8, 4, 7, 2, 10, 3, 6, 1]",2,2,1,2.4335508346557617
FED_20160401b_3T2,1,y,4,1,7,64.01437711715698,68.53171396255493,Hard,"[8, 2, 10, 7, 5, 6, 9, 3]","[9, 2, 5, 10, 3, 6, 12, 11]",1,1,1,2.083587169647217
FED_20160401b_3T2,1,y,4,1,8,72.0154480934143,76.532723903656,Hard,"[12, 10, 7, 6, 5, 9, 8, 3]","[3, 10, 12, 8, 7, 5, 9, 1]",1,1,1,0.8334691524505615
FED_20160401b_3T2,1,y,4,1,9,80.01646709442139,84.51697206497192,Hard,"[6, 3, 12, 10, 1, 5, 7, 11]","[6, 8, 7, 12, 3, 10, 5, 1]",2,1,0,2.70048189163208
FED_20160401b_3T2,1,y,4,1,10,88.0007951259613,92.5180869102478,Hard,"[2, 11, 6, 10, 1, 12, 7, 8]","[8, 7, 2, 1, 10, 6, 12, 4]",1,1,1,1.1167490482330322
FED_20160401b_3T2,1,y,4,1,11,96.00185203552246,100.55244612693787,Hard,"[8, 1, 5, 2, 3, 7, 6, 12]","[12, 1, 5, 8, 3, 2, 7, 9]",1,1,1,1.3000848293304443
FED_20160401b_3T2,1,y,4,1,12,104.00285911560059,108.5201210975647,Hard,"[8, 11, 9, 5, 2, 6, 10, 3]","[12, 7, 11, 9, 8, 6, 2, 5]",2,1,0,2.450208902359009
FED_20160401b_3T2,1,y,4,1,13,112.00383400917053,116.52114200592041,Easy,"[7, 9, 11, 3]","[11, 3, 7, 2]",1,1,1,0.7833919525146484
